domain,aspect,sentiment,tweet_text
ride-sharing,wait time,negative,Really disappointed by the wait time in this ride-sharing.
ride-sharing,route efficiency,positive,The route efficiency on this ride-sharing exceeded all expectations.
streaming services,ads,neutral,"Honestly, the ads feels pretty average for a streaming services."
e-commerce,packaging,neutral,"The e-commerce's packaging does the job, nothing exciting."
streaming services,ads,neutral,Not much to say about the ads—it's just fine.
restaurants,cleanliness,negative,The cleanliness totally ruined my experience with this restaurants.
e-commerce,packaging,positive,Totally satisfied with the packaging—solid upgrade for the e-commerce.
ride-sharing,route efficiency,negative,Really disappointed by the route efficiency in this ride-sharing.
ride-sharing,ride cost,negative,Wish the ride cost on this ride-sharing was better.
restaurants,service,positive,Absolutely loving the service of my new restaurants.
restaurants,food quality,negative,The food quality totally ruined my experience with this restaurants.
ride-sharing,car cleanliness,negative,This ride-sharing seriously dropped the ball on car cleanliness.
streaming services,ads,positive,I'm genuinely impressed with the ads on this streaming services.
smartphones,battery life,negative,This smartphones seriously dropped the ball on battery life.
streaming services,app experience,negative,Still can't get over how bad the app experience is on this streaming services.
e-commerce,refund policy,negative,Wish the refund policy on this e-commerce was better.
smartphones,design,negative,Really disappointed by the design in this smartphones.
e-commerce,product quality,negative,Really disappointed by the product quality in this e-commerce.
e-commerce,customer support,positive,"Hands down, this is the best customer support I've experienced with any e-commerce."
streaming services,content variety,positive,"Hands down, this is the best content variety I've experienced with any streaming services."
e-commerce,refund policy,positive,Totally satisfied with the refund policy—solid upgrade for the e-commerce.
smartphones,performance,neutral,Not much to say about the performance—it's just fine.
e-commerce,packaging,negative,This e-commerce seriously dropped the ball on packaging.
streaming services,ads,neutral,"The ads on the streaming services is okay, I guess."
e-commerce,packaging,positive,I'm genuinely impressed with the packaging on this e-commerce.
restaurants,cleanliness,positive,"Hands down, this is the best cleanliness I've experienced with any restaurants."
ride-sharing,ride cost,negative,This ride-sharing seriously dropped the ball on ride cost.
e-commerce,refund policy,neutral,"Honestly, the refund policy feels pretty average for a e-commerce."
restaurants,price,positive,Totally satisfied with the price—solid upgrade for the restaurants.
streaming services,subscription price,positive,Absolutely loving the subscription price of my new streaming services.
